,,Archetype report_draft,,,,,,,,,,,,,,,,,,,,,,,
#,Section,reach_n,dropoff_n,avg_active_time_s,scroll_complete_n,backtrack_n,error_n,cta_unlock_n,cta_read_more_n,cta_new_survey_n,skip_n,reach_%,dropoff_%,scroll_complete_%,backtrack_%,error_%,cta_unlock_%,cta_read_more_%,cta_new_survey_%,skip_%,z_avg_active_time_s,z_backtrack_%,z_error_%,z_skip_%,friction_index
1,Welcome,5000,150,19.3,4115,159,11,78,110,142,139,100.00%,3.00%,82.30%,3.18%,0.22%,1.56%,2.20%,2.84%,2.78%,-1.356,-1.560,-0.561,-0.398,-3.874
2,The LoveIQ Concept,4850,150,26.8,4335,273,18,111,233,77,94,97.00%,3.09%,89.38%,5.63%,0.37%,2.29%,4.80%,1.59%,1.94%,-1.018,-0.345,0.689,-0.782,-1.456
3,Scores & Benchmarks,4700,150,33.8,4082,156,28,107,226,267,187,94.00%,3.19%,86.85%,3.32%,0.60%,2.28%,4.81%,5.68%,3.98%,-0.703,-1.491,2.546,0.148,0.500
4,Sexual Stage,4550,150,22.2,3569,175,27,71,219,170,198,91.00%,3.30%,78.44%,3.85%,0.59%,1.56%,4.81%,3.74%,4.35%,-1.225,-1.229,2.526,0.318,0.390
5,Core Archetype,4400,150,21.3,3406,259,14,67,126,76,167,88.00%,3.41%,77.41%,5.89%,0.32%,1.52%,2.86%,1.73%,3.80%,-1.266,-0.217,0.251,0.065,-1.167
6,Probability of Other Archetypes,4250,150,24.9,3515,283,10,450,241,107,58,85.00%,3.53%,82.71%,6.66%,0.24%,10.59%,5.67%,2.52%,1.36%,-1.103,0.166,-0.434,-1.043,-2.415
7,Core Motivation,4100,150,31.4,3204,216,4,79,235,90,151,82.00%,3.66%,78.15%,5.27%,0.10%,1.93%,5.73%,2.20%,3.68%,-0.811,-0.524,-1.573,0.013,-2.894
8,The Importance of Sexuality,3950,150,26.8,3076,236,9,127,206,117,54,79.00%,3.80%,77.87%,5.97%,0.23%,3.22%,5.22%,2.96%,1.37%,-1.018,-0.174,-0.496,-1.042,-2.729
9,Typical Beliefs,3800,2000,40.2,2602,441,12,481,138,95,121,76.00%,52.63%,68.47%,11.61%,0.32%,12.66%,3.63%,2.50%,3.18%,-0.414,2.619,0.231,-0.214,2.222
10,Communication Style,1800,50,59.1,1539,138,6,83,50,52,77,36.00%,2.78%,85.50%,7.67%,0.33%,4.61%,2.78%,2.89%,4.28%,0.437,0.666,0.376,0.284,1.763
11,Risk Orientation,1750,50,42.9,1408,97,5,58,74,24,23,35.00%,2.86%,80.46%,5.54%,0.29%,3.31%,4.23%,1.37%,1.31%,-0.293,-0.388,-0.018,-1.066,-1.764
12,Energy Level,1700,50,65.5,1487,97,3,33,93,21,76,34.00%,2.94%,87.47%,5.71%,0.18%,1.94%,5.47%,1.24%,4.47%,0.725,-0.307,-0.921,0.372,-0.130
13,Attachment Style,1650,50,64.8,1249,112,6,78,43,47,58,33.00%,3.03%,75.70%,6.79%,0.36%,4.73%,2.61%,2.85%,3.52%,0.694,0.230,0.627,-0.063,1.487
14,Confidence Level,1600,50,40.6,1367,120,5,57,63,43,54,32.00%,3.13%,85.44%,7.50%,0.31%,3.56%,3.94%,2.69%,3.38%,-0.396,0.583,0.204,-0.127,0.264
15,Relationship Form Preference,1550,50,39.6,1372,55,6,62,55,21,54,31.00%,3.23%,88.52%,3.55%,0.39%,4.00%,3.55%,1.35%,3.48%,-0.441,-1.377,0.821,-0.077,-1.075
16,Love Language,1500,50,65,1208,96,5,49,53,31,27,30.00%,3.33%,80.53%,6.40%,0.33%,3.27%,3.53%,2.07%,1.80%,0.703,0.037,0.376,-0.845,0.271
17,Biochemical Reward System Dynamics,1450,50,39.1,1116,80,3,15,44,11,24,29.00%,3.45%,76.97%,5.52%,0.21%,1.03%,3.03%,0.76%,1.66%,-0.464,-0.401,-0.669,-0.911,-2.444
18,Core Insecurities,1400,50,37.6,1176,94,5,43,73,11,49,28.00%,3.57%,84.00%,6.71%,0.36%,3.07%,5.21%,0.79%,3.50%,-0.531,0.193,0.573,-0.070,0.165
19,Arousal Style,1350,50,59.1,1149,100,2,54,73,37,36,27.00%,3.70%,85.11%,7.41%,0.15%,4.00%,5.41%,2.74%,2.67%,0.437,0.537,-1.155,-0.450,-0.631
20,Background Know-How,1300,400,31.3,1009,140,5,268,29,17,97,26.00%,30.77%,77.62%,10.77%,0.38%,20.62%,2.23%,1.31%,7.46%,-0.815,2.205,0.800,1.735,3.925
21,Initiation Style,900,20,70,802,55,4,32,20,19,19,18.00%,2.22%,89.11%,6.11%,0.44%,3.56%,2.22%,2.11%,2.11%,0.928,-0.106,1.295,-0.703,1.414
22,Power Orientation,880,20,53.9,667,61,1,44,50,16,14,17.60%,2.27%,75.80%,6.93%,0.11%,5.00%,5.68%,1.82%,1.59%,0.203,0.301,-1.440,-0.940,-1.876
23,Curiosity Level,860,20,50.3,669,67,2,26,58,21,12,17.20%,2.33%,77.79%,7.79%,0.23%,3.02%,6.74%,2.44%,1.40%,0.041,0.727,-0.457,-1.029,-0.718
24,About Living or Not Living Fantasies,840,20,26.3,528,92,3,152,27,23,47,16.80%,2.38%,62.86%,10.95%,0.36%,18.10%,3.21%,2.74%,5.60%,-1.040,2.296,0.573,0.885,2.713
25,"About Fantasies, Desire & Pleasure per Context",820,220,40.6,563,46,2,40,21,14,32,16.40%,26.83%,68.66%,5.61%,0.24%,4.88%,2.56%,1.71%,3.90%,-0.396,-0.355,-0.363,0.113,-1.001
26,Typical Sexual Practices & Fantasy Tendencies,600,20,87.6,337,40,1,13,18,27,45,12.00%,3.33%,56.17%,6.67%,0.17%,2.17%,3.00%,4.50%,7.50%,1.720,0.170,-1.002,1.753,2.641
27,Arousal Accelerators (Turn-ons),580,20,78.7,394,37,2,13,34,5,56,11.60%,3.45%,67.93%,6.38%,0.34%,2.24%,5.86%,0.86%,9.66%,1.320,0.027,0.471,2.735,4.552
28,Arousal Breaks (Turn-offs) ,560,20,68.4,360,28,1,14,31,7,50,11.20%,3.57%,64.29%,5.00%,0.18%,2.50%,5.54%,1.25%,8.93%,0.856,-0.657,-0.903,2.403,1.699
29,Libido Challenges in Relationships,540,20,94.3,480,31,1,22,37,4,22,10.80%,3.70%,88.89%,5.74%,0.19%,4.07%,6.85%,0.74%,4.07%,2.022,-0.290,-0.849,0.192,1.075
30,Challenges to Enjoy Sex,520,20,91.3,459,32,1,9,29,6,7,10.40%,3.85%,88.27%,6.15%,0.19%,1.73%,5.58%,1.15%,1.35%,1.887,-0.085,-0.790,-1.051,-0.039
31,Challenges to Sustain Partner,500,20,78.7,395,19,1,16,27,15,16,10.00%,4.00%,79.00%,3.80%,0.20%,3.20%,5.40%,3.00%,3.20%,1.320,-1.252,-0.726,-0.207,-0.866
32,Growth Potentials,480,480,77.8,370,38,2,11,14,34,5,9.60%,100.00%,77.08%,7.92%,0.42%,2.29%,2.92%,7.08%,1.04%,,,,,
