,,Survey (newest),,,,,,,,,,,,,,,,
Q_ID,C_ID,Question ,reach_n,dropoff_n,avg_active_time_s,backtrack_n,guidance_tooltip_open_n,error_n,reach_%,dropoff_%,backtrack_%,guidance_tooltip_open_%,error_%,z_avg_active_time_s,z_backtrack_%,z_guidance_tooltip_open_%,z_error_%,friction_index
00000,15,What is your email?,1000,39,3.5,0,0,13,100.00%,3.90%,0.00%,0.00%,1.30%,-1.435,-2.167,-1.880,2.970,-2.512
00001,15,What is your first name?,961,31,5,0,0,15,96.10%,3.23%,0.00%,0.00%,1.56%,-0.357,-2.167,-1.880,3.826,-0.578
01001,1,"In this season of your life, how central is sexuality to your overall life satisfaction?",930,29,6.3,11,17,5,93.00%,3.12%,1.18%,1.83%,0.54%,0.577,0.287,0.257,0.469,1.590
01002,1,"Overall, how satisfied are you with your sex life right now?",901,22,5.6,6,15,3,90.10%,2.44%,0.67%,1.66%,0.33%,0.074,-0.785,0.067,-0.203,-0.847
01003,1,"If sex feels less important right now, which fits best?",879,23,4.3,12,11,3,87.90%,2.62%,1.37%,1.25%,0.34%,-0.860,0.666,-0.417,-0.176,-0.787
01005,1,I often crave more novelty/variety in my sexual experiences.,856,22,5.7,9,13,4,85.60%,2.57%,1.05%,1.52%,0.47%,0.146,0.015,-0.104,0.238,0.294
01006,1,Sex is often uncomfortable or painful for me.,834,33,4.5,6,8,5,83.40%,3.96%,0.72%,0.96%,0.60%,-0.716,-0.674,-0.758,0.672,-1.477
02000,2,Desire can appear before stimulation (spontaneous) or build after affectionate/erotic cues (responsive). Both are common and healthy.,801,30,7.4,11,21,5,80.10%,3.75%,1.37%,2.62%,0.62%,1.368,0.682,1.185,0.753,3.988
02001,2,Which is most true for you?,771,23,5.5,5,10,3,77.10%,2.98%,0.65%,1.30%,0.39%,0.002,-0.821,-0.364,-0.019,-1.201
02002,2,I usually don’t feel sexual desire until someone shows me affection or starts something intimate.,748,20,8.5,12,24,3,74.80%,2.67%,1.60%,3.21%,0.40%,2.159,1.162,1.871,0.021,5.212
02003,2,I enjoy intimacy more when it’s planned rather than spontaneous.,728,20,7.9,7,20,2,72.80%,2.75%,0.96%,2.75%,0.27%,1.727,-0.172,1.332,-0.394,2.493
02004,2,"In a good scenario, initiation feels best when…",708,16,6.6,12,18,5,70.80%,2.26%,1.69%,2.54%,0.71%,0.793,1.350,1.092,1.022,4.257
03000,3,"An arousal style is the mix of cues and conditions that move you toward or away from arousal. It’s not a diagnosis; it shifts with context, and consent sets the boundary for what actually happens.",692,17,8.3,16,23,4,69.20%,2.46%,2.31%,3.32%,0.58%,2.015,2.630,2.006,0.601,7.252
03003,3,What is your preferred setting of sexual connection?,675,19,4.6,5,11,2,67.50%,2.81%,0.74%,1.63%,0.30%,-0.645,-0.630,0.025,-0.323,-1.572
03004,3,How essential is emotional connection for your sexual desire?,656,13,5.7,7,20,3,65.60%,1.98%,1.07%,3.05%,0.46%,0.146,0.047,1.685,0.205,2.083
03005,3,Which description best fits what gets you from neutral to turned-on most often?,643,18,4.8,7,10,2,64.30%,2.80%,1.09%,1.56%,0.31%,-0.501,0.092,-0.062,-0.275,-0.745
03006,3,"Which ""learning mode"" best fits you?",625,16,4.1,4,7,1,62.50%,2.56%,0.64%,1.12%,0.16%,-1.004,-0.839,-0.570,-0.770,-3.184
03008,3,I usually want sex to feel...,609,16,4.3,5,9,3,60.90%,2.63%,0.82%,1.48%,0.49%,-0.860,-0.463,-0.152,0.321,-1.155
03009,3,"Tension, pursuit, or being ‘hard to get’ reliably turns me on.",593,16,5,5,8,0,59.30%,2.70%,0.84%,1.35%,0.00%,-0.357,-0.418,-0.303,-1.295,-2.373
03010,3,"In erotic contexts, I prefer:",577,10,3.5,3,8,1,57.70%,1.73%,0.52%,1.39%,0.17%,-1.435,-1.088,-0.259,-0.727,-3.509
03011,3,Sex feels most fulfilling when it has a sacred/meaningful/ritual quality (not just pleasure).,567,13,7,6,9,1,56.70%,2.29%,1.06%,1.59%,0.18%,1.081,0.029,-0.024,-0.717,0.368
03012,3,"Without some edge/taboo/intensity, sex can feel flat.",554,12,3.9,5,9,0,55.40%,2.17%,0.90%,1.62%,0.00%,-1.148,-0.294,0.019,-1.295,-2.718
03013,3,What sounds most arousing?,542,13,5,3,4,2,54.20%,2.40%,0.55%,0.74%,0.37%,-0.357,-1.019,-1.017,-0.085,-2.477
03014,3,I can usually reach orgasm with a partner when I want to.,529,11,7.5,8,19,2,52.90%,2.08%,1.51%,3.59%,0.38%,1.440,0.971,2.319,-0.055,4.675
08000,8,"How we bond shapes how safe our body feels in sex. When closeness, distance, and repair work for us, desire can unfold instead of going into defense.",518,13,8.3,10,19,3,51.80%,2.51%,1.93%,3.67%,0.58%,2.015,1.839,2.408,0.605,6.867
08002,8,I generally feel secure in relationships.,505,12,6.6,2,5,1,50.50%,2.38%,0.40%,0.99%,0.20%,0.793,-1.345,-0.722,-0.646,-1.920
08003,8,"When my partner pulls away, I usually…",493,10,3.5,5,6,0,49.30%,2.03%,1.01%,1.22%,0.00%,-1.435,-0.063,-0.457,-1.295,-3.250
08004,8,"Regarding interdependence in relationships, I tend to...",483,9,5.3,5,10,5,48.30%,1.86%,1.04%,2.07%,1.04%,-0.141,-0.019,0.541,2.101,2.481
08005,8,"After emotional repair (a good vulnerable talk), I often feel more desire.",474,11,6,4,14,1,47.40%,2.32%,0.84%,2.95%,0.21%,0.362,-0.416,1.573,-0.603,0.916
08006,8,"When I feel pressure (to perform, talk, or escalate), I shut down or want to withdraw.",463,9,4.7,5,8,2,46.30%,1.94%,1.08%,1.73%,0.43%,-0.573,0.074,0.140,0.122,-0.237
08012,8,I lose interest when my partner becomes too emotionally dependent.,454,9,3.9,2,5,2,45.40%,1.98%,0.44%,1.10%,0.44%,-1.148,-1.253,-0.592,0.150,-2.843
09013,9,I sometimes use flirtation/sex to influence the dynamic or get needs met.”,445,13,5.4,6,5,0,44.50%,2.92%,1.35%,1.12%,0.00%,-0.070,0.631,-0.566,-1.295,-1.301
10000,10,"Great sex is easier when we can name what we like and hear each other clearly. Communication is a skill, not a personality trait, and tiny scripts help.",432,10,5.3,10,5,3,43.20%,2.31%,2.31%,1.16%,0.69%,-0.141,2.636,-0.527,0.983,2.951
10002,10,"During intimacy, how do you prefer to communicate your needs and desires?         ",422,7,8.3,6,12,2,42.20%,1.66%,1.42%,2.84%,0.47%,2.015,0.783,1.445,0.260,4.502
10003,10,I’m comfortable expressing what turns me on.,415,7,5.5,3,3,0,41.50%,1.69%,0.72%,0.72%,0.00%,0.002,-0.667,-1.035,-1.295,-2.995
10004,10,I’m comfortable expressing what I don’t want.,408,9,6.9,4,5,2,40.80%,2.21%,0.98%,1.23%,0.49%,1.009,-0.133,-0.447,0.313,0.742
10005,10,"If my partner is quiet/neutral during sex, my arousal drops.",399,10,7.4,5,13,2,39.90%,2.51%,1.25%,3.26%,0.50%,1.368,0.433,1.929,0.349,4.080
11001,11,Which dynamic feels most natural?,389,10,5,2,3,3,38.90%,2.57%,0.51%,0.77%,0.77%,-0.357,-1.100,-0.978,1.235,-1.201
